      Plot replica #,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               sp1 a,               sp1 b,               sp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,               sm1 a,               sm1 b,               sm1 c,                GT a,                GT b,                GT c,                G2 a,                G2 b,                G2 c,
                   1,           -1.013696,           -0.438117,            2.117991,            6.605533,          -14.845290,           11.452994,            4.500687,           -2.675912,            1.804003,           -8.824974,            8.239489,           12.876878,           -8.129266,            5.668892,            4.850818,            4.114758,           -9.003225,            3.544275,            4.231431,          -13.440630,            0.042673,            0.550015,            1.162488,           -4.936175,
                   2,           -0.773348,            5.657034,            1.752893,            7.009715,           -9.179762,           11.353556,           11.293987,           -1.091249,          -11.200360,           -6.733758,            2.210244,           16.655769,           -9.804855,            0.199905,           18.340337,            2.590983,           -1.571769,           -4.440851,            1.293390,           -4.737341,            7.010200,           -0.451132,           -1.137934,           -3.487548,
                   3,           -0.225979,            5.106644,           -3.584562,            7.236554,           -9.220330,            6.038250,            6.252660,            2.272365,           -9.348200,           -7.545092,            7.147470,           11.345877,          -11.252456,            8.768456,           13.383358,            0.466381,            1.724551,           -1.596841,            3.069997,           -7.499759,           -0.674184,           -0.113207,           -1.364405,           -1.502932,
                   4,           -0.893855,            4.748738,           -1.717461,            6.598992,           -9.542602,            7.777328,            6.584539,            0.130074,           -7.408818,           -7.633526,            4.127082,           15.756762,           -7.596523,           -6.638734,           21.922130,            0.361755,           -1.076109,            0.909136,            4.067082,           -9.118829,           -3.259533,            0.435428,           -1.324260,           -2.700802,
                   5,           -0.129755,            3.656605,           -6.097399,            7.091663,          -10.193416,            3.360249,            5.689249,            1.659539,          -11.276234,           -5.630835,            4.233076,            9.617289,           -3.022179,           -7.947027,           13.656581,            1.950151,           -1.247754,           -4.315723,            4.639520,          -11.198236,           -5.236611,           -0.079523,           -0.743843,           -0.293164,
                   6,           -1.654978,            6.426255,           -2.007911,            6.230155,           -8.382014,            7.218405,            7.547094,            0.540918,          -10.687390,           -7.749367,            6.923758,           12.142817,          -11.988531,            5.161407,           18.187581,            1.328862,           -0.554320,           -3.099714,            3.255457,           -7.855051,           -2.139917,            0.442793,           -1.812095,           -2.120371,
                   7,           -1.123072,            6.343376,            0.221337,            6.241503,           -7.700558,            9.673968,           10.613624,           -4.828594,           -7.892330,           -5.421913,            2.254471,           11.891099,           -6.655540,           -4.559515,           16.645308,            9.853993,           -9.904057,          -17.275707,            1.917613,           -5.415542,            3.576714,           -0.050859,           -1.376913,           -3.201931,
                   8,           -2.142466,            5.501844,           -3.705146,            5.715455,           -9.538713,            6.067048,           14.966082,          -13.660078,          -14.065453,           -7.756575,            6.160557,           12.862746,           -6.453308,           -2.897206,           13.147536,            7.619337,           -8.857163,           -8.936968,            5.096425,          -12.652217,           -4.843366,           -0.034945,           -0.121121,           -1.202328,
                   9,            2.120253,            1.270647,           -5.443735,            9.637643,          -13.313659,            4.429641,           10.561763,           -3.452191,          -15.131242,           -4.601515,            2.729081,            9.323559,           -7.697454,            4.727506,            7.541012,            5.851313,           -6.201656,           -8.398255,            5.539540,          -11.028050,           -3.649735,           -1.334190,            0.656676,           -0.428491,
                  10,           -3.696292,           13.530081,            1.159666,            3.731944,           -0.666737,           10.686313,            7.101412,            5.398939,           -6.385412,           -6.618636,            8.591859,            6.884694,           -5.047818,            6.526462,            1.156876,            3.101271,           -2.236916,           -4.428700,           -0.541356,            0.375127,            5.203441,            1.277128,           -5.128391,           -3.768645,
