      Plot replica #,            Solution,           chi2/Npts,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,                GT a,                GT b,                GT c,                G2 a,                G2 b,                G2 c,               QTu a,               QTu b,               QTu c,               QTd a,               QTd b,               QTd c,
                   1,                 N/A,            2.031799,           -0.537627,            3.550964,           -9.291296,            4.530764,           -3.895929,           -1.898134,           -3.200757,           -0.141844,           12.256038,          -12.240035,           19.371282,            2.159105,            3.428187,           -5.117006,           -6.211107,           -0.561141,           -1.993900,            0.764222,           -3.608152,            5.655605,           -2.751819,            5.231355,           -5.360132,            2.198185,
                   2,                 N/A,            2.083341,            3.386170,            0.557322,          -11.846850,            6.341660,           -5.861172,           -1.252683,           -0.780631,            1.725329,            5.274419,            0.913675,          -13.487793,           10.478663,            0.308518,           -7.657479,            1.514287,            2.983147,           -5.762172,            0.341861,           -3.961930,           11.933335,           -6.353716,            0.248873,           -5.985544,            6.805074,
                   3,                 N/A,            1.952263,            3.449988,            5.224592,          -16.646981,           -1.713060,           -0.649439,            8.406234,          -10.997170,           11.674755,           14.010573,          -16.044304,           16.329920,           19.669181,            4.560672,          -13.694759,            2.622242,           -1.941374,           -3.916598,           -0.168127,           -2.101878,           16.188016,          -11.716607,            3.832400,          -13.599097,           13.244112,
                   4,                 N/A,            2.177970,            0.646388,            3.441792,          -10.102101,            8.037718,           -6.539344,           -4.351777,           -6.756473,            4.389783,           14.403728,           -3.622930,            4.137692,            1.076943,            0.150501,           -1.311366,           -7.682507,            4.081529,           -3.622606,           -4.944913,           -9.984749,           10.204240,          -12.865668,            7.148944,           -8.981398,           17.838882,
                   5,                 N/A,            2.048997,           -2.895037,            1.205339,           -0.774288,            1.943823,           -8.448640,            8.817584,           -3.533960,            4.731134,            5.857880,           -6.614401,           -0.916717,           12.610742,            4.224049,           -9.414043,           -6.174696,           -0.177850,           -4.373049,            3.051039,           -4.119522,           15.170046,           -4.531048,            6.086481,          -11.132702,           -1.693660,
                   6,                 N/A,            2.217056,           -3.278940,           11.148271,           -9.846042,            7.156839,           -2.915331,           -6.583176,           -4.120823,            5.045676,            7.722883,          -10.201375,           16.873599,            1.758858,           -0.453253,            9.586864,           -1.148794,           -1.452306,           -3.315920,            2.360355,           -2.563207,            7.450110,            5.359415,            4.537922,           -7.629562,           -5.400160,
                   7,                 N/A,            1.914004,           -3.601440,            5.261661,           -4.801585,           -0.362395,           -4.291259,            8.130820,           -4.291727,            3.775475,            9.890224,           -1.325138,          -12.687328,           11.710929,            0.292687,           -1.618802,           -2.297719,           -2.290373,           -0.174605,            4.501582,            1.319403,            8.839307,           -7.849925,            3.668345,          -10.949737,            0.831918,
                   8,                 N/A,            2.431861,           -2.963017,           -0.158540,            1.445327,            4.909504,           -6.259794,            1.649111,           -2.702438,            0.823277,            7.471352,          -10.441271,            7.082965,           16.896465,            0.356001,          -13.983376,            7.340984,           -1.587274,           -0.026990,           -2.490816,           -5.077330,           12.070770,          -10.303965,            8.463751,          -12.617484,            9.549543,
                   9,                 N/A,            2.237111,           -2.755905,            8.433675,           -8.486298,            1.595524,            2.342814,           -2.090582,           -3.822443,            0.020710,           12.971748,           -3.505673,            2.495357,            2.630957,            1.988900,           -2.513966,           -6.874859,            3.961232,           -8.540879,           -3.490617,           -5.561402,            5.812531,          -11.842145,            3.216654,           -0.578411,           15.582275,
                  10,                 N/A,            1.747048,           -8.991782,            8.851581,            5.028540,            1.027652,          -14.526385,           19.104025,           -4.976913,           -2.338693,           18.455638,          -16.344185,            8.139591,           22.515471,            4.132971,          -10.841486,           -6.902025,            1.102152,           -3.374527,           -1.275101,           -2.974597,           18.476221,           -5.354600,            5.832008,          -16.766827,           -0.191899,
                  11,                 N/A,            2.038433,           -6.029972,            5.042896,            3.137584,            2.422436,           -8.555825,           10.036211,           -5.096488,            3.364547,           12.260390,           -5.407327,            0.553522,            9.972246,            3.732591,          -10.113433,           -9.941148,            2.173666,            1.952525,           -3.611676,            1.379657,            5.838300,           -4.621731,           -0.081614,          -10.278757,            3.298342,
                  12,                 N/A,            2.082975,           -9.420137,           10.940188,            2.155369,            2.137705,           -7.601610,            7.415125,           -8.041024,            8.141391,           13.111893,           -6.444767,           -1.349226,           12.425760,            4.077718,            1.171775,           -4.615861,           -3.641249,           -4.748345,           -6.534214,            0.798138,           11.247993,            0.668150,            6.921486,          -10.343925,            1.819748,
                  13,                 N/A,            1.810056,           -8.896846,           10.378457,            0.075644,           -1.151923,            2.131488,            2.503837,           -8.604475,            6.115473,           15.599954,           -6.286650,            5.419216,            9.022415,           -1.823743,           -2.500091,            2.620481,            0.155041,           -4.528743,            1.808710,           -1.816853,           13.554112,          -13.016887,            5.112450,          -12.667977,            8.730670,
                  14,                 N/A,            2.146856,           -3.039761,            2.556492,           -1.304089,            7.114500,          -16.887754,            9.091590,           -4.097659,            1.672074,           10.996125,           -9.370653,            1.731897,           17.166589,            3.646750,          -12.072662,            4.696982,           -1.318682,           -4.901026,            4.999282,           -7.778429,           11.984675,           -3.453191,            8.844466,           -4.457307,           -4.420233,
