nrep,I3ueta,I3us10,I3u1,I3deta,I3ds10,I3d1,I3seta,I3ss10,I3s1,I3Teta,I3Ts10,I3T1,I4eta,I4s10,I41,I5eta,I5s10,I51
1,-3.781160,2.494293,9.880228,7.765787,6.200896,-0.829741,0.985566,-8.622203,3.044113,3.974491,-6.929917,0.347102,-1.470266,-0.321564,3.122593,7.071859,-6.561474,-9.418955
2,-0.359431,-5.705064,-2.824814,-4.091042,-1.432816,6.797640,2.384334,2.611678,-2.432222,2.375594,1.193240,5.870460,-0.755996,9.410293,-4.014409,0.768403,-5.526162,3.291401
3,-8.059817,1.231012,-8.649034,3.820107,9.987416,-9.502081,-2.902720,0.051494,-9.868784,-2.898357,8.399953,3.515781,-1.975785,0.893905,5.174335,1.865611,-4.536418,5.102205
4,-1.040854,-4.921400,-8.835503,6.838533,-2.144945,-4.230566,3.814501,-3.232115,-0.831571,9.013471,-2.512991,3.812361,3.530499,-5.313078,-3.893038,6.128832,-8.896868,5.775874
5,-0.825737,1.566074,2.619640,1.558741,2.823314,4.112084,3.690702,-1.978149,9.073976,9.471581,-9.853168,5.757771,0.814923,-4.961434,5.690033,-0.049254,2.838051,1.669673
6,4.070052,-8.865717,9.320607,-0.581793,-7.887086,3.298993,0.274132,0.188105,-3.973986,-6.345369,-5.587676,3.409144,-0.086529,0.664490,-3.080648,-1.149568,-2.297932,5.582124
7,-8.788457,1.600208,1.087649,4.127733,0.018431,9.475752,6.385820,1.533498,7.783196,-1.166236,0.062525,9.507426,1.549556,8.584073,-9.301807,-7.003673,6.439585,2.496842
8,-4.938941,-1.851348,-9.105124,9.427309,-7.046120,5.526749,6.495651,3.837611,1.043752,1.938759,-9.505185,-2.881149,1.538176,2.420787,-9.013673,-2.416075,7.111202,-9.098100
9,-2.920110,-5.285121,-0.698579,2.123415,-7.838162,-5.906944,-2.112220,2.198978,-4.704192,-1.636616,-1.910376,9.386841,-0.131358,0.428683,-0.487671,2.489195,-3.511004,-3.460456
10,0.151295,-1.734201,-3.742639,-9.421866,7.607595,1.498109,4.076548,-0.402427,-7.604499,0.650312,-5.644180,-8.269778,-1.043989,0.552984,-0.880921,4.130245,-3.535734,-7.688278
