nrep,I3ueta,I3us10,I3u1,I3deta,I3ds10,I3d1,I3seta,I3ss10,I3s1,I3Teta,I3Ts10,I3T1,I4eta,I4s10,I41,I5eta,I5s10,I51
1.000000000000000000e+00,1.530793760948512272e-01,4.733492735726800404e+00,2.201836436129791519e+00,-2.669887824343408766e-02,3.362465300340855556e+00,-6.501320074047988840e+00,-5.328558192396720017e+00,7.712843734846288157e+00,5.653525166744620023e+00,3.275447947159242368e+00,-9.772203226069983373e+00,-3.193284767606174857e+00,1.041589205357054126e+00,1.964400323413455496e+00,-5.203811483184237474e+00,-2.367873135468068213e+00,1.497661520883490915e+00,-5.693021872695647190e+00
2.000000000000000000e+00,-6.339542450716935562e+00,8.913494158488528996e+00,9.129292651297049588e+00,6.037393871876439277e+00,-7.056025006129765131e+00,-1.219310217369635740e+00,-6.403301952735191982e+00,4.288463098899832460e+00,-9.991219875361911917e-01,9.159225931644375152e+00,9.456547894109171182e+00,2.821450220880430404e+00,4.581583297651246056e+00,-7.667898629085567741e+00,-6.572965629296789736e+00,4.433079016648360238e+00,6.450537466159880218e+00,7.362517182542140937e+00
3.000000000000000000e+00,3.688254481322572609e-01,2.765045709679918584e+00,-6.747067173411577912e+00,-7.838332967558909736e+00,9.797350335275800681e-01,-7.072069429612293234e-01,-2.928206199661824716e+00,-9.551560962470958316e+00,9.580375067814596690e+00,-3.315916685850146539e+00,2.961408086868526635e+00,-2.476043302744628249e+00,-1.809377592390111200e+00,9.949670254260462698e+00,-9.807486479721561068e-01,-6.767790552035153340e+00,-1.816758436333603122e+00,-4.263967260465808096e+00
4.000000000000000000e+00,-8.349374795769715085e-01,-5.392755172308481448e+00,-1.836225719215460739e+00,-4.181264472385668896e+00,-4.471915208070374348e+00,8.487389580044808923e+00,8.690272846850417565e+00,3.391710752263346063e+00,-6.929039533546903940e+00,-3.587649404351600513e+00,9.160366282160643081e+00,-8.581117193561340173e+00,-6.422416637228218761e+00,3.743746300576071828e+00,9.608923044194126462e+00,7.332823149670399943e+00,-6.736870317141101516e+00,2.764720317005415762e+00
5.000000000000000000e+00,5.004092800931227991e+00,6.302402787042886700e+00,-9.148711368727761695e+00,6.621040172038606286e+00,-3.579227433273703962e+00,-4.538286792184853979e+00,2.835371618232871427e+00,-7.415060340333814892e+00,7.299892234933937907e+00,7.890823582380159351e+00,4.313102597861321996e+00,-1.427349605476682104e+00,3.493069577155560879e-01,-6.563349928681009970e+00,9.230754214812753489e+00,1.692785820393352125e+00,6.084788657546134516e+00,-6.305036017508232504e+00
6.000000000000000000e+00,-2.883031803004114657e+00,-5.194672486404505740e-01,1.659885135144640866e+00,9.591518976596574930e+00,8.803075768884706775e+00,6.828797230230652104e+00,-2.067106687404995924e-01,-9.733027839949935256e+00,8.022008917947848872e+00,-5.603399288108635190e+00,7.279842274271199898e+00,-3.824438250615269652e+00,1.671697907709797093e+00,-6.271591806976257288e+00,-2.463094192909247582e+00,-1.062238190942148552e+00,5.398049267670106843e+00,4.231902996001403849e+00
7.000000000000000000e+00,2.273284653102569663e+00,-8.171697543347400838e+00,-3.655793750748657089e+00,6.225980908361073318e+00,3.666436321617740912e+00,8.404614517990118827e+00,8.436502288713011666e+00,1.983152487202646252e+00,-3.507358010294479023e+00,-4.328383426178690208e+00,2.442164760167733206e+00,-8.660244281885209894e-01,5.454953578646781764e-02,-5.828248426217874645e-01,-7.588028027729379232e+00,-1.423782194380287525e+00,9.950525615766451892e+00,6.145270282203398438e+00
8.000000000000000000e+00,-9.791887679260337762e+00,-3.017925822024196680e+00,-8.751364171744024922e-01,1.681154922328373935e+00,-7.432628763546766493e+00,-2.945289524821290694e+00,-9.954464848823352696e+00,-5.371127940321704486e+00,6.150482093873335110e+00,9.692245173435807715e+00,-9.096681934843986461e-01,2.129933359276745541e+00,5.454581599239842760e+00,4.413488964883818255e+00,-9.556910555389849904e+00,-9.342964813027766269e+00,-1.661771336049149284e+00,3.998526816240473014e+00
9.000000000000000000e+00,-9.788657698951709563e+00,-5.884744558925099511e+00,-6.451914713234163656e-01,5.340452897363312523e-01,5.179072466775222594e+00,1.988305772482961142e+00,-6.937863955092062440e+00,-4.067097338684475538e+00,-2.361804774602023205e+00,8.006769503214594685e-01,6.334433733399120747e+00,2.588950289181168873e+00,-2.201635293970394258e-01,6.350039907469968270e+00,-2.974156043327205179e+00,-7.612149474317735809e+00,6.516165518689527758e+00,3.746542798408891706e-01
1.000000000000000000e+01,1.476598771136305999e-01,7.344849264646063247e+00,-3.167782604446292005e+00,6.853969336229654985e+00,-3.400365200733634907e-01,-3.686446850094822203e+00,7.674325097180081379e+00,5.260370916933892360e+00,-8.752319325687235363e+00,6.708937750874333084e-01,5.958327139621095725e+00,7.141779712630924593e+00,6.464094549770686982e+00,-8.293203751428785964e+00,-9.574919403681461105e+00,-1.594730148076541898e+00,5.939029863725149738e+00,5.415883874225517758e+00
