nrep,I3ueta,I3us10,I3u1,I3deta,I3ds10,I3d1,I3seta,I3ss10,I3s1,I3Teta,I3Ts10,I3T1,I4eta,I4s10,I41,I5eta,I5s10,I51
1.000000000000000000e+00,-2.325262736291115218e+01,-1.508297263908367825e+01,-8.394031094824656591e+00,-2.740878333982864845e+01,1.256530145968981316e+01,-2.779148946249788210e+01,-1.834298905033122651e+01,1.563578797266939091e+01,-8.692599460009805767e+00,3.506340837324957160e+00,2.761167480176655431e+01,2.530316600394895143e+00,9.776194363330020565e+00,8.584122231278179527e+00,-2.593500131308175227e+01,-1.590921908467743862e+01,-1.157402018131370447e+00,2.416206056971600447e+01
2.000000000000000000e+00,-1.088968142095262337e+01,-2.186792737891131466e+01,-2.093500580432511882e+01,-8.980604443731635911e+00,1.919049818075218994e+01,-5.251147100766782039e+00,5.324089994227509948e-03,-2.157583990016427933e+01,-8.760740737798414557e+00,-2.991991715164088106e+01,-1.946503274744630119e+01,9.584437325066531344e+00,-1.713541694159956918e+01,1.409617380864658820e+01,1.167815266933707186e+01,-1.643037711469612638e+00,3.997033055032290783e+00,-7.450713330232227705e+00
3.000000000000000000e+00,-1.066115576827064615e+01,-1.142938491928400069e+01,9.464405123537687814e+00,2.770791889113944606e+01,2.839567697811654057e+01,-2.197988036434886538e+01,2.229161374058126555e+01,-2.683056609763331934e+01,6.358828580931459307e+00,-1.890273158149829058e+01,2.278203658001569210e+01,2.979728340943582054e+01,-5.882401578372600248e+00,2.407432497784239445e+01,4.643432027096405790e-01,-1.114250688922569132e+01,7.149841396444669428e+00,-1.886492778028523887e+01
4.000000000000000000e+00,-4.188623056352622775e+00,4.016238444151154496e+00,-5.965346168715228714e+00,-1.052708234445990954e+01,-2.668026483349668609e+01,-1.268178453011345574e+01,2.526726941783793379e+01,2.885769194372754853e+01,-1.697620314386690410e+01,1.808597597841426108e+01,-1.785166268734352002e+01,2.360955978866215688e+01,6.434189438726409804e+00,-1.140616030769534817e+01,9.607676067700756661e+00,-1.424346037772143525e+01,2.533243563116383612e+01,8.178716717653838231e+00
5.000000000000000000e+00,3.104669993579347587e+00,9.165483841664116227e+00,-2.807377564385804192e+01,5.212845444219684765e+00,-5.700932779257992244e+00,2.950324252348237763e+01,2.044727587312135242e+01,-1.092156621938372218e+01,-2.536980527860895052e+01,-3.661740020014643271e+00,-7.793289057986275026e+00,-2.469804885396289151e+01,-3.045228884776136624e+00,-1.736197442041846628e+01,7.570406024611918028e+00,1.044736300044408495e+01,1.689633683399309660e+01,-2.942803481409726629e+01
6.000000000000000000e+00,2.387089397942458291e+01,1.527502411062210186e+01,2.431287778847595860e+01,-2.885048737007754127e+01,-2.089942882098236510e+01,2.011097982398528572e+01,-2.151864012810120741e+01,-1.217311939664102560e+01,1.552970499547876315e+01,-2.031747437728549954e+01,-1.370128230691390314e+01,1.396363776193006778e+01,6.451708908824864253e+00,-2.031152742312637471e+01,-2.816588113180507591e+01,-3.774669490488231638e+00,2.327986492438434141e+01,2.578136833022286112e+01
7.000000000000000000e+00,1.919570198200522881e+01,-3.913099005691746957e+00,-2.472846229370630411e+01,1.501088790067877987e+01,-2.285021294655429003e+01,-2.557769554900365350e+01,9.508896760035941753e+00,1.349362954223168387e+01,-2.964587567453471095e+01,2.668559228159960384e+01,-1.207650901531905063e+01,-7.590780207356950804e-01,-3.262923876580019478e+00,2.626528018286452237e+01,2.499567577260181395e+01,-1.456852961748345621e+01,-1.257436395339993140e+01,-2.811368975216883470e+01
8.000000000000000000e+00,-2.816162735918191373e+01,1.222372118293459664e+01,-1.228694518928148938e+01,-1.708924418633106512e+00,-2.709545737142677879e+00,1.093993751772280199e+01,-2.391516204848149130e+01,2.184405284495800714e+01,8.927914464084684809e+00,2.160155579499680556e+01,1.590317039430346746e+01,1.645428023250800464e+01,2.008165840930495705e+01,-8.617951380285848728e+00,-2.908721038177099061e+01,-1.441738379690846550e+01,1.203939097422637339e+01,1.367326951140490010e+01
9.000000000000000000e+00,-3.040951862246614734e+00,2.154161562130572349e+01,2.102824654057014797e+01,-2.770795418896311446e+01,3.283592422452239479e+00,-2.464956927434969458e+01,2.017330457042320546e+01,1.269062838200295928e+01,-2.839482394041392688e+00,1.556272319642103241e+01,-6.710552749489733237e+00,-2.760563769511141174e+01,-9.365107109563107102e+00,1.507484735178995905e+01,2.618783490674762504e+01,-7.045572111349837741e+00,-1.237672365961390852e+01,2.254871937431639140e+01
1.000000000000000000e+01,-4.095162647400996114e-01,-1.291771431736110998e+01,-2.236420538612729914e+01,-5.172129750961625305e+00,-2.230031346478240550e+01,7.999246887682009977e-01,-7.814518665051872759e+00,-1.073092203048848248e+01,-1.702141837251658885e+01,1.904583732531194684e+01,-2.448326693388878894e+01,-1.428349425075868595e+01,1.295955906000602020e+01,-2.156346946233293949e+01,-1.408474503612399609e+01,-5.820325879373051237e+00,3.709989008638583385e+00,2.681397289318213950e+01
