nrep,I3ueta,I3us10,I3u1,I3deta,I3ds10,I3d1,I3seta,I3ss10,I3s1,I3Teta,I3Ts10,I3T1,I4eta,I4s10,I41,I5eta,I5s10,I51
1,-0.23316072258299414,-8.44194985853947,4.440738310807724,9.521638215544474,-1.1985625002766334,-7.250367558688591,-4.563057403197133,6.892893607194438,-7.135038852461653,-0.9552396733546757,2.400844295864882,-0.4262064621746653,-2.197368812992739,-5.87820685464616,9.713155010295694,-1.907791438790749,-7.1796088964898175,-1.1195039674434177
2,7.9261506479259864,-1.925529824019094,-8.4786745243285,4.778528059108375,-2.793028376697402,0.219075057615715,0.7115208772482298,2.278701710269024,5.4655730642395675,1.7395116073883603,-9.253982939813646,5.517811604456085,7.871434567090191,6.6056338282545575,1.772080462216305,9.204479846224949,0.9289309409764552,7.069917877391546
3,-2.1913030860671405,1.2998463449143713,4.487528811161454,-5.530920114213529,-6.269341950304456,5.415116550340455,-5.336438129963392,9.445220734411425,3.402557828140111,-2.2569427907699264,2.287361800816951,-0.36807533577005813,-8.991025849085654,-3.898303747306917,-1.138223384224439,-1.9417429392048629,-2.5763280339685597,-3.8736775599729834
4,-0.6206434853450915,-3.1984410301232424,-3.4110886143325985,0.4590559117366215,8.927872479693832,2.0212806368836134,-5.059709641007279,3.7169563047970833,-7.284012664299033,4.785587733194802,8.366132071950794,-0.3271113820597584,6.4023600591870355,-6.723939691167187,6.827262490917949,6.556735328850195,3.5205321479507212,-2.634950027646905
5,-0.5327679122666709,0.055845774199625,-4.200429309498581,7.261528635049249,-5.131746753291813,7.528887294864994,9.529452082919242,7.8773404037155785,7.330258422986606,-1.2514602906367926,-6.031751956835896,-5.47560085124478,-4.17048452495735,5.703162573579208,-0.2255208192422451,5.689867717234321,-0.47331652041829386,2.4237364867801645
6,-2.688103869216971,6.678099880008897,-1.8689243166920448,-5.0026714685566915,-8.992985918994256,-5.200724586590582,5.748349747711568,4.947996883913515,3.2568107750484447,-7.57526963709362,2.2335140430767435,0.0758641550470891,9.949979443039354,0.036975689939604095,-2.7094366566937644,8.618589626511628,5.5593659406540965,2.99492304742561
7,-9.964141312495283,-8.364190767561263,8.49118363945066,-4.6492416834609,-7.449900319964707,4.335686908050565,-4.736309320945605,3.5974713572409716,-0.595231600231072,-4.115949581831466,0.7935539868195374,6.930800958548449,3.2097749697079188,4.153662402771568,-3.876416010558539,1.849145062281936,1.0820365611176896,8.173583291600103
8,3.7421217537362317,-7.5658608110370595,9.298947597325714,-5.904696466372739,-5.911352471498985,-9.138541896984124,0.3622440252988053,9.48120388714894,-7.057504552560578,6.637110512355772,4.409536495970931,-2.127299400407545,-1.1796297084483687,-3.7535124693460205,2.9578688636972643,-4.472808811822504,-8.641109342682771,9.72735140326699
9,-5.877473510924833,1.5943643289074227,-2.439314046505718,-1.6982179298213929,9.562781766263122,6.23626250163132,-8.059087167743664,9.632451872486122,-4.451062304583906,-7.860238647719415,3.934122656236596,7.325139197449275,5.904457950558617,8.562081021976063,-5.350976762621206,-6.559298442198949,-0.8656367106449423,8.105724135499663
10,-1.0454417029993834,5.103711640178101,5.178155921848518,-2.9350358555777394,-8.75113567134612,5.017237519590335,0.2514498375641967,0.6128988476237147,1.1945842980079018,1.9446335305411928,7.64461921341319,-3.252340755396048,8.005202368435434,0.00870064771391732,-9.71969719952078,-8.227470099081625,4.889544314123178,-0.009884747791284454
