nrep,I3ueta,I3us10,I3u1,I3deta,I3ds10,I3d1,I3seta,I3ss10,I3s1,I3Teta,I3Ts10,I3T1,I4eta,I4s10,I41,I5eta,I5s10,I51
1.000000000000000000e+00,1.739687046599796005e+00,7.142335516915016669e+00,-8.677818850322562838e+00,9.843071424742433351e-01,3.831801434516235449e+00,-2.800061955010653136e+00,3.118616203554847033e+00,-2.816384706495567158e+00,9.430978065701454582e+00,-2.860494169744998150e+00,-6.828495957436773622e+00,-7.569944905865197526e+00,-6.870128377610091874e+00,-5.421695530963623888e+00,2.836417741655457014e+00,8.299071346546291750e+00,-3.975458125368218631e+00,7.011396447763614148e+00
2.000000000000000000e+00,-2.787692722824792746e+00,-2.165060446509723402e+00,4.264593837203993765e+00,-6.902351395005048573e+00,-8.597563368855940524e+00,-4.670016690867084819e-01,1.080819136742732223e+00,-3.216850365907881759e+00,8.920179811409179038e+00,9.243435507879336654e+00,-4.884645784217696018e+00,-7.712760645815919247e-01,7.789370813491296452e+00,8.526619982514008100e+00,9.681136258888772161e+00,-9.519948615116273771e+00,-6.551345644331281193e+00,-1.982756656467357104e+00
3.000000000000000000e+00,-3.604273270774740467e+00,1.280115059798037080e-01,-9.293334051029020770e+00,9.777309765262884866e+00,2.697189961102310907e+00,4.372362743138675789e+00,7.427820059452471924e+00,-9.205489648123370117e+00,5.712595449918433488e+00,-5.203220945047013046e+00,1.833270639440633953e+00,-7.263808619777196718e+00,-9.013466238261464980e+00,-3.733130714622976409e+00,5.458707047261301959e+00,8.198813405500597895e+00,3.124622855237191299e+00,-4.578745945023077191e-01
4.000000000000000000e+00,5.743399501597805212e+00,-5.948794876944574206e-01,6.643610870855098938e-01,9.535157542117126184e+00,9.364272284077523878e+00,3.472848537468518071e+00,9.432419585309022025e+00,-9.207971194012502636e+00,6.776996255202076824e+00,1.809878112489848867e+00,-9.686815988760919538e+00,1.885548846821196722e+00,-8.859721099463586214e+00,-7.173906693309692884e+00,9.044005002701457130e+00,9.765044951707160692e+00,6.272650146967981399e+00,-4.440842443264017447e+00
5.000000000000000000e+00,8.414555670022894063e+00,-1.730082949763438460e+00,-7.923686689099489477e+00,1.313434176950196708e+00,-5.424419261015406946e+00,5.297505335171200258e+00,-4.192345595097723532e+00,-5.732500312349619875e+00,-9.897655556668755850e+00,7.438223291325433806e+00,-7.560412784588654844e-01,-6.181574174272236988e+00,-3.421753207200315394e+00,1.065207847395790441e+00,-1.991528986195236772e+00,3.969352346113250718e+00,5.332589237024127904e+00,-4.036115403197326756e+00
6.000000000000000000e+00,9.985551779821939533e+00,-1.079062064876230576e+00,2.342200487718759661e+00,4.159198211906327103e+00,-4.037186385401188460e+00,-8.822446455207613170e+00,-9.489882414142929434e+00,-9.276907830942132449e+00,9.571612279264980927e+00,-2.450247142425427960e+00,6.853073110814012381e+00,5.396667999950124361e+00,3.537525225327791123e+00,9.250143783590358382e+00,-8.130163997903006035e-01,-8.392918235058889564e+00,-2.547573259867725870e+00,8.185150167369059204e+00
7.000000000000000000e+00,-5.181019841728879527e+00,-6.520678010901446164e+00,-8.978585062335840306e+00,1.934922599744954841e+00,-5.177557821660387916e+00,6.143301861282626675e+00,-1.401825086214010252e+00,2.935968664382644366e+00,4.109043332114270086e+00,-8.347372822683482241e+00,-4.898983158850365172e+00,9.757138914680982822e+00,2.988434089212410605e-01,4.694225374398579120e+00,-6.840011414046545113e+00,-9.927209285755044021e+00,9.617324948176502630e+00,6.516676232212050834e+00
8.000000000000000000e+00,5.227368579146361327e+00,-6.145374107134234265e+00,-9.328783934622089546e+00,6.478055633409425695e+00,2.571342588386884564e+00,1.050186941927975237e+00,2.993932916058292815e+00,-8.629566006289874025e+00,-7.130337876991113433e+00,3.770214903604229839e+00,2.265451921343732966e+00,-1.920090516019121729e+00,-3.583575067770707889e+00,6.644173342952917061e+00,1.031191939553790515e+00,-2.031085650728625680e-02,2.890270670097399019e+00,5.040008061626690683e+00
9.000000000000000000e+00,-8.205216295561521989e+00,2.799948483146323941e+00,9.724330755867018894e+00,9.873575421857960777e-01,-3.927832546163658733e+00,-9.210473146823511925e+00,8.208706191112844053e+00,2.530708293908985329e+00,9.202538214561233332e+00,-5.402047224272101822e+00,4.343681867010785069e+00,1.638770740068558052e+00,3.817192392431079107e-01,-2.394672331286100686e+00,6.651690830611318717e+00,-7.826287633203099503e-01,-2.904055514018999418e-01,-5.114947241722099136e+00
1.000000000000000000e+01,4.107141318967562071e+00,6.903795417564273507e-01,-3.994398940683405730e+00,-7.449884636478332212e+00,9.078696130848950219e+00,5.054272624067119857e+00,1.180222791534368820e+00,-7.494956956033065332e+00,-6.153270559771728543e+00,-3.218246348329201201e+00,-9.823646109825222794e+00,5.897690489729894736e+00,5.389561085988024303e+00,6.845549085783484422e+00,-5.588169640155964402e+00,-5.835088495692706267e+00,-4.783416758012277725e+00,-3.261798089992014038e+00
1.100000000000000000e+01,4.886641302363314843e-01,-7.277535910010042741e+00,-6.758060392323386623e+00,5.877764179445521542e-01,6.063649372223329337e+00,-4.576320997272363300e+00,-5.160578687035101808e+00,-2.268801747743360853e+00,-9.945999811229649268e+00,-9.690136220171972070e+00,1.328560737173314354e+00,4.872050331168820136e-01,-4.831644929781218067e+00,8.973528201072147326e+00,5.485510769877128823e+00,-7.897552606833158073e-01,-2.203579453722939174e+00,4.060417340974784572e+00
1.200000000000000000e+01,-1.453805350115437989e+00,7.771044644805065182e+00,-5.730086970453040607e+00,9.741265681699722734e+00,4.883176424401116655e+00,2.411560470748681517e+00,-7.800553509987473433e+00,2.052098229263372708e+00,8.331776944933009688e+00,6.069020647993919049e+00,7.626412016853190146e+00,3.948445384773326960e+00,9.466501419376108117e+00,3.837762113762031024e+00,-4.053338146502339256e+00,-9.331528415483994365e+00,-1.990823348242498625e+00,5.108838321430688723e+00
