nrep,I3ueta,I3us10,I3u1,I3deta,I3ds10,I3d1,I3seta,I3ss10,I3s1,I3Teta,I3Ts10,I3T1,I4eta,I4s10,I41,I5eta,I5s10,I51
1.000000000000000000e+00,3.855529279550078403e+00,-4.444118554262601606e+00,-1.007105984152285583e+00,2.704503368606674396e+00,9.586943500681968544e+00,-9.476208858636372412e+00,3.953724255720061365e+00,-3.459986182297063451e+00,6.971190833949803434e+00,-5.976836493925041793e-01,1.501806526458646651e+00,-5.362847321357275376e+00,1.625439319970540808e+00,2.079593718554013648e+00,-9.252568589190426351e+00,-2.934969638707833894e+00,5.249138020219978884e+00,-3.308084694584316754e+00
2.000000000000000000e+00,-7.715354250542930004e+00,3.293902426185746357e-01,-7.690377483860455499e+00,-5.879504193236795295e+00,9.738480171458377299e+00,9.803781942399954374e+00,7.194900909129064992e-01,-5.031485273537812830e+00,-6.999162582052822046e+00,-5.576711576292083805e+00,-7.281488063860123816e+00,5.413140585687545858e+00,-6.869847398383908121e+00,5.965275088593577912e+00,7.839584470878295797e+00,6.345355588971132832e+00,-9.755929346260055368e+00,-8.836868709415401923e-01
3.000000000000000000e+00,6.002014055273918736e+00,-4.694441430564437745e+00,4.667446712661926789e+00,-7.139806130297903231e+00,9.810604163735135330e+00,8.679293565139012401e+00,-5.323109337936662300e+00,-4.867083644843464008e+00,3.683144689904953584e+00,-6.768006148237601494e+00,6.037648354143419382e+00,8.614736277398574060e+00,5.033992648273710735e-01,2.352767934496124980e-02,-7.001887865537829825e+00,-2.818453131295250991e-01,5.682215495259166360e+00,-2.161358811454889839e+00
4.000000000000000000e+00,8.934004043113457527e+00,4.637490589109911632e+00,-3.260165837237125608e+00,2.277255262197366292e+00,6.594102993714368033e-01,7.054138409093971163e+00,-4.355439997122845242e+00,4.127828908751314252e+00,-9.798337610873062431e+00,-2.205701809531905866e+00,-6.766183030254182995e+00,6.797553369542985280e+00,-1.139599255326180227e+00,-7.269440298281715229e+00,1.168681835005149772e+00,9.460266812498538513e+00,-1.057871344724841123e+00,8.255427303296102082e+00
5.000000000000000000e+00,-3.622972510009290215e+00,-1.278569045804116566e+00,-9.046553119244880037e+00,5.185314081284257526e+00,-9.362470318906460420e+00,-9.330504289510702876e+00,5.587257806064771515e+00,2.267681962796430639e-01,-6.189373841387288522e+00,8.516462330984243323e+00,8.199278410711150045e+00,3.814508041209176969e+00,3.063482615652599605e+00,2.054096357728361077e+00,-4.065889446261168771e+00,4.430034386571342075e+00,-9.341300590496402378e+00,8.048766328500134293e-01
6.000000000000000000e+00,-2.371473568437236779e+00,3.788204132591361795e+00,7.671977977711028629e+00,8.418270454402712488e+00,8.281173512232708589e+00,8.300736035710221117e-01,9.428148132619531552e+00,-6.035184760695083028e+00,5.554422460799246508e-01,-5.801636602750575022e+00,9.126483743566641493e+00,-5.947997630586032258e+00,1.782616518586144227e+00,2.370064947379248999e+00,-4.796141737027221907e+00,-3.238654749830660595e+00,-5.007978522651868047e-01,-5.318018599248361511e+00
7.000000000000000000e+00,2.416964546291611171e-01,-5.551553456832731825e+00,-2.185255133544730111e+00,-3.915772302244435732e+00,3.747358615123916881e+00,1.007504298710026891e+00,1.413385638694499846e+00,-3.517543915912162422e+00,-6.542878646223940109e+00,-2.191262887342251275e+00,1.891387353964657514e-01,-2.047931687631288078e+00,-2.911786873222115268e+00,4.115459687424241508e+00,4.468112116110454224e+00,-2.842905381659865949e+00,-6.354224800350105617e-01,3.227559424700798818e+00
8.000000000000000000e+00,-4.123028663981960662e+00,-7.393234622507042886e+00,-3.195815158653219079e+00,-5.210488421136094672e+00,-9.845149030074839658e+00,1.970411425882367951e-01,-1.813416388962825199e+00,-1.756742672507445313e+00,-2.801837867115801739e+00,5.868416648183751860e+00,-5.503811336774042218e+00,9.352994409537524589e+00,2.935633303045883657e+00,7.204367968210949158e+00,-4.673410567506744329e+00,-5.140069657056669072e+00,-8.747263397430650400e+00,-2.806107450845551909e+00
9.000000000000000000e+00,-2.072883484919596508e+00,5.094912759926819135e+00,-9.074812581884323492e+00,-3.415003644518905812e+00,8.236570680059791982e+00,9.860188040168118562e+00,-1.116593240060295145e+00,6.790272391669351926e+00,-6.977361634580128147e+00,-7.237282190422882344e+00,6.148597110494451456e+00,3.272659119025524976e+00,-2.021744921075996348e+00,-7.611571947073059619e+00,9.160493860421192736e-01,7.255531037433609498e+00,7.036188256902489613e+00,-6.456230132970910418e+00
1.000000000000000000e+01,7.458722208924939423e+00,8.937469356048277191e+00,-5.401285319095974202e+00,-6.853617235632798455e+00,3.395691556974278491e+00,-2.122425727982335530e-01,-4.959046448585526790e+00,3.308210912475839649e+00,-6.593797629251052506e-01,8.846656585159895059e+00,-9.995743993947289852e+00,-9.911548319904746052e+00,2.944504638675855546e+00,-6.346692759248195870e-01,-2.541613803916686898e-01,-5.064261758671440461e+00,-2.256546259344971439e-01,4.096744940694745374e+00
