      Plot replica #,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               sp1 a,               sp1 b,               sp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,               sm1 a,               sm1 b,               sm1 c,                GT b,                G2 a,                G2 b,                G2 c,               QTu b,               QTd b,               QTs b,
                   1,           -1.838126,            1.327336,           -3.136942,           13.917798,          -15.487172,            3.283450,           11.934895,           -3.696650,          -19.359496,          -11.484210,           11.697775,           12.486184,           -2.810007,            2.155989,           -1.078635,           11.425248,           -7.670574,          -22.722125,            4.935578,            0.387882,           -3.129168,           -2.660865,            1.945122,            4.388235,           -6.895732,
                   2,           -2.914778,            2.860653,           -2.758178,            2.876171,           -3.502015,           -2.011998,            8.830141,           -5.279595,           -9.300831,           -9.553934,            9.884005,           12.592427,           -5.289071,            7.539875,            1.032098,           -1.018990,            9.740706,           -8.785492,           -2.005686,            1.458634,            2.881546,           -9.999972,            0.204778,            6.973529,           -2.002605,
                   3,           -5.038561,            5.018425,            1.174915,            9.355270,           -9.384723,           -2.551667,           -3.371205,            4.206348,           -9.119060,           -4.144973,            4.528099,            7.731658,           -2.053620,           -8.969230,           11.740189,           10.889732,          -10.611908,          -10.798522,            2.755600,            3.016680,            0.640801,           -9.124388,           -4.321382,            5.367810,            6.217998,
                   4,           -5.129367,            4.600911,            2.294030,           17.366459,          -17.722778,           -1.943286,            6.827072,           -3.023766,          -12.436834,           -9.617537,           11.658637,           10.855201,            1.518504,           -1.978394,           -3.359015,            4.483818,           -2.497889,           -6.270185,           -0.898871,            1.738681,           -2.447359,           -4.891176,           -3.978342,            5.659842,            0.788502,
                   5,           -4.346611,            4.465323,           -0.293860,            5.181031,           -4.879406,           -5.796226,            0.729306,           -0.128158,           -3.397159,           -9.888318,           14.862670,            7.440722,            2.644684,           -2.143588,           -5.225127,            5.389761,           -0.092997,          -11.792528,           -4.191242,           -0.613589,            0.808761,           -3.333483,           -3.231958,            7.779516,            1.992567,
                   6,           -3.631780,            3.440365,            1.290567,            5.524638,           -5.739473,           -3.566385,            6.048541,           -4.204971,           -5.497648,           -3.986526,            2.898368,            9.247460,           -8.858245,            7.977040,            7.240580,           13.846855,          -19.498488,           -7.420774,            3.178300,            3.863847,           -1.300284,           -9.529116,           -4.516546,            6.462086,            2.129167,
                   7,           -3.104434,            2.884599,            1.846184,            5.413045,           -5.500054,           -4.018762,           -3.734096,            5.389149,           -8.460170,           -3.622271,            1.324032,           10.325463,           -4.572995,           -0.950584,            7.813362,            6.046223,           -5.618259,           -6.639639,           -1.997374,            0.362555,            0.219768,           -3.668165,           -4.316718,            7.093629,            2.912918,
                   8,           -4.533574,            4.278259,            1.809754,            9.367874,           -9.733523,           -2.475249,            3.968613,           -2.187552,          -10.422720,           -5.386828,            4.808778,            9.896388,            0.426578,           -3.290692,            0.400641,            7.551068,           -5.262970,           -9.963047,            2.061010,            3.130575,           -0.274620,           -9.080003,           -4.180202,            6.314680,            4.497427,
                   9,           -1.400697,            1.173170,           -1.529852,           10.906518,          -10.752248,           -4.825922,           14.735659,          -12.701078,           -8.050581,           -4.620847,            2.703795,           10.240342,            1.587638,           -6.337868,            1.577058,            4.256113,           -0.535373,           -9.166768,           -4.269463,            0.664972,            4.972667,           -9.999935,           -0.630660,            7.443465,            2.197475,
                  10,           -4.397482,            4.377712,            0.680153,            6.929061,           -6.716289,           -2.901392,           12.195058,          -11.643266,           -6.501828,            0.147706,           -2.845968,            6.899066,           -8.594697,            7.530546,            7.605570,            8.747930,           -6.844644,          -10.628584,            2.118736,            3.398161,           -0.450614,           -9.700899,           -3.810207,            4.885055,            4.650723,
                  11,           -2.275688,            1.977865,            1.658231,            7.483891,           -7.853655,           -3.702219,            7.796859,           -5.080167,           -9.131804,           -6.310697,            4.732624,           12.121437,           -6.341019,            9.026821,           -0.319143,            9.510575,          -17.860967,           10.185068,           -0.705967,            2.082029,           -0.712105,           -6.862545,           -4.404562,            7.175064,            3.002925,
                  12,           -3.699059,            3.613963,            0.453919,           10.839884,          -10.958283,           -3.834557,           10.736555,           -9.308544,           -7.664069,           -5.847467,            4.553061,           11.200205,           -5.614169,            2.465146,            6.656857,            7.282099,           -7.456079,           -6.954068,           -1.197031,            1.898157,            0.745346,           -8.154055,           -3.235856,            6.995701,            3.071739,
                  13,           -5.818794,            5.471990,           -0.670668,            8.258742,           -8.037175,           -5.726519,            3.906012,           -1.852382,           -4.983049,           -3.591936,            2.059210,            9.197056,           -0.108744,           -2.641864,            0.399860,           11.435805,          -16.344857,           -6.628986,           -3.401226,            1.265347,            4.269121,           -9.986800,           -1.437402,            7.938753,           -0.108814,
                  14,           -6.005742,            6.069224,            1.147098,            8.600739,           -8.811480,           -3.118470,            8.961237,           -7.714867,           -5.852664,           -7.417436,            7.002771,           11.406514,           -0.967960,           -2.754225,            2.814997,            3.547187,           -3.709222,           -3.968771,           -0.835029,            1.060802,           -2.002576,           -3.526659,           -4.614349,            6.363516,            2.018307,
                  15,           -6.399308,            6.493380,           -0.506549,            7.694845,           -7.921205,           -4.526088,            5.461929,           -4.272234,           -6.385868,           -0.344981,           -2.753179,            8.078762,           -3.827417,            3.507633,            0.844963,            8.936724,           -7.625988,          -10.693943,           -1.788663,            1.396498,            2.037657,           -8.706944,           -2.712303,            8.180853,            2.680069,
                  16,           -0.127197,           -0.011744,            2.259496,            5.198563,           -5.274656,           -3.233806,            2.756111,           -1.525396,           -5.453595,           -4.782343,            2.224794,           10.927406,            0.914211,           -8.664100,            5.283796,            6.467823,          -13.674188,            0.781739,            0.589213,            1.091164,           -1.939869,           -2.193700,           -5.290650,            6.018867,            1.340510,
                  17,           -4.434627,            4.156928,            0.062009,            6.794577,           -6.676360,           -2.563341,            0.987278,            0.822275,           -3.051967,            0.530016,           -1.080888,            4.028824,          -12.801523,            1.697777,           20.252806,            8.202555,           -9.008704,           -8.322778,            0.672703,            2.083484,           -2.037213,           -5.805773,           -2.387883,            4.876229,           -2.870929,
                  18,           -1.376487,            1.167840,            1.244488,            4.493343,           -4.511444,           -5.272162,            1.055272,            0.633204,           -7.365518,           -5.534804,            3.493059,           11.273518,           -8.681563,            2.867755,           11.857865,           -2.841133,            6.816958,           -3.034252,           -0.659478,            2.548685,            1.274726,           -9.917267,           -3.856159,            8.157066,            2.690283,
                  19,           -5.189792,            4.835547,            1.539864,            3.184949,           -3.453119,           -4.376732,           -0.443230,            2.668607,           -7.051104,           -0.947034,           -4.011819,           10.787871,           -7.650509,            8.347336,            3.780961,            5.313516,           -8.606784,           -1.515296,           -1.764077,            0.235847,            0.728354,           -3.444523,           -3.572742,            7.998348,           -0.256834,
                  20,           -4.082112,            4.231714,           -1.548053,           10.968414,          -11.015239,           -5.369294,           -3.347186,            4.446439,           -0.979747,           -9.026312,           10.116107,           11.702021,           -8.041972,            7.355447,            7.684430,           -2.558427,           -0.200168,           -6.663086,           -4.536111,           -0.483436,            1.757273,           -4.049082,           -2.289611,            8.160304,           -0.845839,
                  21,           -7.498617,            8.106737,           -2.809555,            9.127954,          -10.085216,            1.140004,           15.059044,          -13.304751,           -8.102187,          -10.347201,           12.360185,           11.384320,            2.672479,          -13.262738,            7.179503,           15.232547,          -18.070079,          -11.808352,           -1.209987,           -1.486967,           -2.029299,            1.232314,           -2.196804,            4.211867,            3.274106,
                  22,           -5.767865,            4.957726,            2.023158,           11.937725,          -12.593797,           -3.021746,           12.637115,           -8.152229,          -11.348017,           -4.648830,            3.957716,            9.243620,           -5.630806,            1.892077,            7.152474,            8.829239,          -11.099839,           -6.282248,            1.172303,            2.160259,            0.763849,           -7.420780,           -2.956967,            7.603621,           -1.672414,
                  23,           -5.877546,            5.847419,            0.730304,            6.404318,           -6.187882,           -4.110346,            6.616148,           -5.970524,           -6.121334,           -3.081849,            2.033047,            7.987025,           -5.211312,            4.644690,            3.543975,           10.034982,           -7.223835,          -13.000375,            1.399542,            3.026996,           -0.887648,           -9.189197,           -3.919988,            6.036843,            4.691400,
                  24,           -6.540187,            6.504808,           -0.940593,           14.567567,          -14.313544,           -5.110013,           -2.579213,            3.821976,           -6.712681,           -6.903535,            6.059040,           11.918781,           -6.124886,            5.990260,            3.444639,            2.071324,            4.158865,           -9.088756,           -7.382898,           -1.875300,            3.828683,           -2.849846,           -2.103522,            7.084285,            4.279388,
                  25,           -6.227985,            6.283172,           -2.315836,            8.142626,           -8.037527,           -6.040710,           18.797705,          -17.062066,           -1.960329,           -4.874189,            3.800557,           10.399697,           -5.114578,            6.816619,            0.321249,           13.860218,          -21.252366,           -5.323131,           -6.153709,           -1.635215,            3.530251,           -3.516911,           -1.040732,            8.506621,           -1.624779,
                  26,           -3.698561,            3.512730,            0.184552,            5.286658,           -5.290115,           -4.727558,            5.659710,           -3.689635,           -4.847856,           -8.124840,            5.915497,           14.680107,           -8.416418,           11.839958,            1.522800,            2.632672,            4.523061,          -10.944358,           -3.050888,            1.046374,            0.169810,           -6.086691,           -3.025054,            7.269505,            0.317791,
